combo,module_count,module_id,load,I_main_mA,I_min_mA,I_max_mA,V_module_main_V,V_module_min_V,V_module_max_V,I_main_display_text_mA,T_stm32_C,V_source_main_V,source_minus_module_main_mV,photo_filename_date_batch,retained_quality_note,n_records_per_configuration_condition,within_condition_repeat_SD_mA,provenance_json
M0-M1,2,M0,MAX,19.708,19.67,19.73,3.241,3.241,3.242,19.708,27.3,3.278,37.000,2026-09-05,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml"", ""source_record_sha256"": ""a51af797896fa4a7d45c85814ab5953409baf4b2282c1c3dbd07619c81170e13"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_113832.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114202.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114322.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114418.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114442.jpg""], ""configuration_photo_sha256"": [""305618853eeba6a44f8bec8c47134b34d6828e17209421ca807868c624c986fb"", ""b2a49394e97275f29c737fc0fe47dc29f6cec44025cb225c5fed2c6d24e81ea8"", ""5cb4fadf06c48c31417ffb9505eac825b80ca4817d50f1df8acb1e358df4296c"", ""380552237968b1ff68a3173d1d0f01464513f9399319641019e79b0fef547517"", ""c707e90d7552a4167cf28172f7272b77f5a890bb254bc0dd9d6efad2621a7ff4""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes"", ""current_fields"": ""I_module0_*_mA"", ""voltage_fields"": ""V_module0_*_V""}"
M0-M1,2,M1,MAX,20.26,20.17,20.3,3.248,3.248,3.248,20.26,26.8,3.278,30.000,2026-09-05,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml"", ""source_record_sha256"": ""a51af797896fa4a7d45c85814ab5953409baf4b2282c1c3dbd07619c81170e13"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_113832.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114202.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114322.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114418.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114442.jpg""], ""configuration_photo_sha256"": [""305618853eeba6a44f8bec8c47134b34d6828e17209421ca807868c624c986fb"", ""b2a49394e97275f29c737fc0fe47dc29f6cec44025cb225c5fed2c6d24e81ea8"", ""5cb4fadf06c48c31417ffb9505eac825b80ca4817d50f1df8acb1e358df4296c"", ""380552237968b1ff68a3173d1d0f01464513f9399319641019e79b0fef547517"", ""c707e90d7552a4167cf28172f7272b77f5a890bb254bc0dd9d6efad2621a7ff4""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes"", ""current_fields"": ""I_module1_*_mA"", ""voltage_fields"": ""V_module1_*_V""}"
M0-M2,2,M0,ZERO,17.985,17.96,18.01,3.235,3.235,3.235,17.985,27.3,3.279,44.000,2026-09-07,,1,,"{""combo"": ""M0-M2"", ""module_count"": ""2"", ""module_id"": ""M0"", ""load"": ""ZERO"", ""I_main_mA"": ""17.985"", ""I_min_mA"": ""17.96"", ""I_max_mA"": ""18.01"", ""T_stm32_C"": ""27.3"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv"", ""current_source_sha256"": ""999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277"", ""current_field_mapping"": ""supplement CSV physical module_id"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260907_010853.jpg"", ""current_photo_sha256"": ""c98f4598a83ec93e9f81fb8f85b1c3e174938c7ef0769f5b4e0f984f7bf76d67"", ""current_photo_original_reference"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_010853.jpg"", ""I_min_source"": ""photo"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-07"", ""temperature_source"": ""user_message_via_supplement"", ""V_module_main_V"": ""3.235"", ""V_module_min_V"": ""3.235"", ""V_module_max_V"": ""3.235"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1.yaml"", ""voltage_source_sha256"": ""61fb4eab2ee15e218706767d0d6c694b12c3d8018d2da9773245157496811fef"", ""voltage_source_fields"": ""V_module0_avg_V;V_module0_min_V;V_module0_max_V"", ""voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260906_232003.jpg"", ""voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_232003.jpg"", ""voltage_photo_sha256"": ""4cbe98a041c2005c1492d1bbaf146c4c26f95b88933fd023684fa926ddb4607a"", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.279"", ""source_to_module_drop_mV"": ""44.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": ""Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged."", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M0-M2,2,M2,ZERO,18.316,18.28,18.36,3.248,3.248,3.248,18.316,26.8,3.279,31.000,2026-09-07,,1,,"{""combo"": ""M0-M2"", ""module_count"": ""2"", ""module_id"": ""M2"", ""load"": ""ZERO"", ""I_main_mA"": ""18.316"", ""I_min_mA"": ""18.28"", ""I_max_mA"": ""18.36"", ""T_stm32_C"": ""26.8"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv"", ""current_source_sha256"": ""999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277"", ""current_field_mapping"": ""supplement CSV physical module_id"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260907_011244.jpg"", ""current_photo_sha256"": ""bee17ba712d8cabf798f77378a2f11e5de6df832f264888a8f0753ea0ac4557a"", ""current_photo_original_reference"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_011244.jpg"", ""I_min_source"": ""photo"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-07"", ""temperature_source"": ""user_message_via_supplement"", ""V_module_main_V"": ""3.248"", ""V_module_min_V"": ""3.248"", ""V_module_max_V"": ""3.248"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1.yaml"", ""voltage_source_sha256"": ""61fb4eab2ee15e218706767d0d6c694b12c3d8018d2da9773245157496811fef"", ""voltage_source_fields"": ""V_module2_avg_V;V_module2_min_V;V_module2_max_V"", ""voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260906_232035.jpg"", ""voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_232035.jpg"", ""voltage_photo_sha256"": ""48b6e05b0d699b921fbfb507bd2daf4299c4efd6f355344ebd46f1ac05fb552b"", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.279"", ""source_to_module_drop_mV"": ""31.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": ""Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged."", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M0-M2,2,M0,MAX,19.588,19.56,19.60,3.240,3.240,3.241,19.588,27.2,3.278,38.000,2026-09-07,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025357.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025650.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030036.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030134.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030206.jpg""], ""configuration_photo_sha256"": [""9a25df23cee13fc0d95fb4063759646e32f3b51bb03f05e6b3f162fe35d70a89"", ""89715493389937ffb8b98b0d11fbb76f123dd4bd73a5182481b5b4526da1881d"", ""8c4477947d7b963b331182c4e6db4fb2ffbf292a2b06cc879e22eb050e8a0a64"", ""205d2b7c44111ef33540e4db16b003cb5e9c4ae085c4410e900d6328bfc9588a"", ""a474b1732bc313ba766fdebf628a2ee286d98b97a9fc976f9ad4fbdcb3d151cc""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null, ""row_values"": {""combo"": ""M0-M2"", ""module_id"": ""M0"", ""load"": ""MAX"", ""I_main_mA"": ""19.588"", ""I_min_mA"": ""19.56"", ""I_max_mA"": ""19.60"", ""V_module_main_V"": ""3.240"", ""V_module_min_V"": ""3.240"", ""V_module_max_V"": ""3.241"", ""V_source_main_V"": ""3.278"", ""V_source_min_V"": ""3.278"", ""V_source_max_V"": ""3.278"", ""T_stm32_C"": ""27.2"", ""T_teensy_C"": ""42.7"", ""T_regulator_C"": ""29.2"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025357.jpg"", ""module_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030134.jpg"", ""source_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030036.jpg""}, ""current_photo_sha256"": ""9a25df23cee13fc0d95fb4063759646e32f3b51bb03f05e6b3f162fe35d70a89"", ""module_voltage_photo_sha256"": ""205d2b7c44111ef33540e4db16b003cb5e9c4ae085c4410e900d6328bfc9588a"", ""source_voltage_photo_sha256"": ""8c4477947d7b963b331182c4e6db4fb2ffbf292a2b06cc879e22eb050e8a0a64""}"
M0-M2,2,M2,MAX,19.769,19.68,19.78,3.241,3.241,3.242,19.769,27.1,3.278,37.000,2026-09-07,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025357.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025650.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030036.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030134.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030206.jpg""], ""configuration_photo_sha256"": [""9a25df23cee13fc0d95fb4063759646e32f3b51bb03f05e6b3f162fe35d70a89"", ""89715493389937ffb8b98b0d11fbb76f123dd4bd73a5182481b5b4526da1881d"", ""8c4477947d7b963b331182c4e6db4fb2ffbf292a2b06cc879e22eb050e8a0a64"", ""205d2b7c44111ef33540e4db16b003cb5e9c4ae085c4410e900d6328bfc9588a"", ""a474b1732bc313ba766fdebf628a2ee286d98b97a9fc976f9ad4fbdcb3d151cc""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null, ""row_values"": {""combo"": ""M0-M2"", ""module_id"": ""M2"", ""load"": ""MAX"", ""I_main_mA"": ""19.769"", ""I_min_mA"": ""19.68"", ""I_max_mA"": ""19.78"", ""V_module_main_V"": ""3.241"", ""V_module_min_V"": ""3.241"", ""V_module_max_V"": ""3.242"", ""V_source_main_V"": ""3.278"", ""V_source_min_V"": ""3.278"", ""V_source_max_V"": ""3.278"", ""T_stm32_C"": ""27.1"", ""T_teensy_C"": ""42.7"", ""T_regulator_C"": ""29.2"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025650.jpg"", ""module_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030206.jpg"", ""source_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030036.jpg""}, ""current_photo_sha256"": ""89715493389937ffb8b98b0d11fbb76f123dd4bd73a5182481b5b4526da1881d"", ""module_voltage_photo_sha256"": ""a474b1732bc313ba766fdebf628a2ee286d98b97a9fc976f9ad4fbdcb3d151cc"", ""source_voltage_photo_sha256"": ""8c4477947d7b963b331182c4e6db4fb2ffbf292a2b06cc879e22eb050e8a0a64""}"
M0-M3,2,M0,ZERO,17.985,17.96,18.02,3.237,3.236,3.237,17.985,27.3,3.279,42.000,2026-09-07,,1,,"{""combo"": ""M0-M3"", ""module_count"": ""2"", ""module_id"": ""M0"", ""load"": ""ZERO"", ""I_main_mA"": ""17.985"", ""I_min_mA"": ""17.96"", ""I_max_mA"": ""18.02"", ""T_stm32_C"": ""27.3"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv"", ""current_source_sha256"": ""999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277"", ""current_field_mapping"": ""supplement CSV physical module_id"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260907_011436.jpg"", ""current_photo_sha256"": ""8ca7e04a6bf45ff87b89a86743e1f19655796c27292e9d2862d97024a312c2dd"", ""current_photo_original_reference"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_011436.jpg"", ""I_min_source"": ""photo"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-07"", ""temperature_source"": ""user_message_via_supplement"", ""V_module_main_V"": ""3.237"", ""V_module_min_V"": ""3.236"", ""V_module_max_V"": ""3.237"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1.yaml"", ""voltage_source_sha256"": ""ea37816dd44a084a23490a531bc5eaa8634403acc6a4bbe63375234b9ae4de80"", ""voltage_source_fields"": ""V_module0_avg_V;V_module0_min_V;V_module0_max_V"", ""voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260906_232921.jpg"", ""voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232921.jpg"", ""voltage_photo_sha256"": ""e8b6bc22ac43d51c9c68db25871068f32bc17f79992c092c1fe54a584b021603"", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.279"", ""source_to_module_drop_mV"": ""42.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": ""Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged."", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M0-M3,2,M3,ZERO,17.922,17.89,18.05,3.241,3.241,3.242,17.922,26.4,3.279,38.000,2026-09-07,,1,,"{""combo"": ""M0-M3"", ""module_count"": ""2"", ""module_id"": ""M3"", ""load"": ""ZERO"", ""I_main_mA"": ""17.922"", ""I_min_mA"": ""17.89"", ""I_max_mA"": ""18.05"", ""T_stm32_C"": ""26.4"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv"", ""current_source_sha256"": ""999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277"", ""current_field_mapping"": ""supplement CSV physical module_id"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260907_011700.jpg"", ""current_photo_sha256"": ""2ece96481d2739c2199b609f79e55a35fb06ad621ae6fdf2935a1fb127a24279"", ""current_photo_original_reference"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_011700.jpg"", ""I_min_source"": ""user_confirmation"", ""I_min_note"": ""MIN confirmed by user as 17.89 mA on 2026-09-07; photo obscured by glare"", ""current_filename_date_batch"": ""2026-09-07"", ""temperature_source"": ""user_message_via_supplement"", ""V_module_main_V"": ""3.241"", ""V_module_min_V"": ""3.241"", ""V_module_max_V"": ""3.242"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1.yaml"", ""voltage_source_sha256"": ""ea37816dd44a084a23490a531bc5eaa8634403acc6a4bbe63375234b9ae4de80"", ""voltage_source_fields"": ""V_module3_avg_V;V_module3_min_V;V_module3_max_V"", ""voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260906_232941.jpg"", ""voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232941.jpg"", ""voltage_photo_sha256"": ""3ba97cde9eaa19aeafd5a7da28470f9949eee36ad8b9a963e3db8a3d891ef514"", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.279"", ""source_to_module_drop_mV"": ""38.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": ""Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged."", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M0-M3,2,M0,MAX,19.664,19.60,19.68,3.241,3.241,3.241,19.664,27.3,3.278,37.000,2026-09-07,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030620.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030754.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030911.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031106.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031302.jpg""], ""configuration_photo_sha256"": [""0e6854eebf4595e5c3443f0d46e8a6b183361570a06b7f9aea601b17c2a392c6"", ""4fe1d2be5f0d02aaecb4419601972186b4d557920e4bcb1ba773a15f50073858"", ""db51320498aa2f62822fbf3331057c831f6def2ec17ef014294695ba4afd4383"", ""156b877dbe27a60258ee063bdf43cd80f0782caf8d26edc8e047c877a5b53983"", ""812f52a6bfe98e93754525c290186abc513592272c68f42f775631494f39400d""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null, ""row_values"": {""combo"": ""M0-M3"", ""module_id"": ""M0"", ""load"": ""MAX"", ""I_main_mA"": ""19.664"", ""I_min_mA"": ""19.60"", ""I_max_mA"": ""19.68"", ""V_module_main_V"": ""3.241"", ""V_module_min_V"": ""3.241"", ""V_module_max_V"": ""3.241"", ""V_source_main_V"": ""3.278"", ""V_source_min_V"": ""3.278"", ""V_source_max_V"": ""3.278"", ""T_stm32_C"": ""27.3"", ""T_teensy_C"": ""42.6"", ""T_regulator_C"": ""28.9"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031106.jpg"", ""module_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030754.jpg"", ""source_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030620.jpg""}, ""current_photo_sha256"": ""156b877dbe27a60258ee063bdf43cd80f0782caf8d26edc8e047c877a5b53983"", ""module_voltage_photo_sha256"": ""4fe1d2be5f0d02aaecb4419601972186b4d557920e4bcb1ba773a15f50073858"", ""source_voltage_photo_sha256"": ""0e6854eebf4595e5c3443f0d46e8a6b183361570a06b7f9aea601b17c2a392c6""}"
M0-M3,2,M3,MAX,19.671,19.66,19.83,3.244,3.244,3.244,19.671,26.9,3.278,34.000,2026-09-07,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030620.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030754.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030911.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031106.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031302.jpg""], ""configuration_photo_sha256"": [""0e6854eebf4595e5c3443f0d46e8a6b183361570a06b7f9aea601b17c2a392c6"", ""4fe1d2be5f0d02aaecb4419601972186b4d557920e4bcb1ba773a15f50073858"", ""db51320498aa2f62822fbf3331057c831f6def2ec17ef014294695ba4afd4383"", ""156b877dbe27a60258ee063bdf43cd80f0782caf8d26edc8e047c877a5b53983"", ""812f52a6bfe98e93754525c290186abc513592272c68f42f775631494f39400d""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null, ""row_values"": {""combo"": ""M0-M3"", ""module_id"": ""M3"", ""load"": ""MAX"", ""I_main_mA"": ""19.671"", ""I_min_mA"": ""19.66"", ""I_max_mA"": ""19.83"", ""V_module_main_V"": ""3.244"", ""V_module_min_V"": ""3.244"", ""V_module_max_V"": ""3.244"", ""V_source_main_V"": ""3.278"", ""V_source_min_V"": ""3.278"", ""V_source_max_V"": ""3.278"", ""T_stm32_C"": ""26.9"", ""T_teensy_C"": ""42.6"", ""T_regulator_C"": ""28.9"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031302.jpg"", ""module_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030911.jpg"", ""source_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030620.jpg""}, ""current_photo_sha256"": ""812f52a6bfe98e93754525c290186abc513592272c68f42f775631494f39400d"", ""module_voltage_photo_sha256"": ""db51320498aa2f62822fbf3331057c831f6def2ec17ef014294695ba4afd4383"", ""source_voltage_photo_sha256"": ""0e6854eebf4595e5c3443f0d46e8a6b183361570a06b7f9aea601b17c2a392c6""}"
