link,model,frequency_Hz,reference,raw_Mbit_s,continuous_N,integer_modules_at_reference,payload_B_per_module,mean_K_D_per_ESKD,within_figure_domain,M_policy,assumptions,q_ESKF_total,q_basis,T_sync_s
HOST_SPI,Mean DELTA K_D=0,200,10 MHz tested setting: 10 Mbit/s raw,10.0,74.4047619047619,74,84.0,0,False,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; q=0 ordinary-ESKD bound; no ESKF",0.0,no_ESKF_bound,1.0
HOST_SPI,Mean DELTA K_D=27,200,10 MHz tested setting: 10 Mbit/s raw,10.0,45.289855072463766,45,138.0,27,False,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; q=0 ordinary-ESKD bound; no ESKF",0.0,no_ESKF_bound,1.0
HOST_SPI,Mean DELTA K_D=240,200,10 MHz tested setting: 10 Mbit/s raw,10.0,11.081560283687944,11,564.0,240,True,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; q=0 ordinary-ESKD bound; no ESKF",0.0,no_ESKF_bound,1.0
HOST_SPI,Mean DELTA K_D=480,200,10 MHz tested setting: 10 Mbit/s raw,10.0,5.986590038314176,5,1044.0,480,True,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; q=0 ordinary-ESKD bound; no ESKF",0.0,no_ESKF_bound,1.0
HOST_SPI,Mean DELTA K_D=0,200,10 MHz tested setting: 10 Mbit/s raw,10.0,70.38288288288288,70,88.8,0,False,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement",0.005,nominal_periodic_only,1.0
HOST_SPI,Mean DELTA K_D=27,200,10 MHz tested setting: 10 Mbit/s raw,10.0,43.85041745597418,43,142.53,27,False,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement",0.005,nominal_periodic_only,1.0
HOST_SPI,Mean DELTA K_D=240,200,10 MHz tested setting: 10 Mbit/s raw,10.0,11.034604519774012,11,566.4,240,True,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement",0.005,nominal_periodic_only,1.0
HOST_SPI,Mean DELTA K_D=480,200,10 MHz tested setting: 10 Mbit/s raw,10.0,5.986590038314176,5,1044.0,480,True,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement",0.005,nominal_periodic_only,1.0
HOST_SPI,FULL,200,40 MHz untested reference: 40 Mbit/s raw,40.0,23.946360153256705,23,1044.0,,True,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; FULL every frame",1.0,FULL_every_frame,1.0
HOST_SPI,Mean DELTA K_D=0,200,40 MHz untested reference: 40 Mbit/s raw,40.0,297.6190476190476,297,84.0,0,False,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; q=0 ordinary-ESKD bound; no ESKF",0.0,no_ESKF_bound,1.0
HOST_SPI,Mean DELTA K_D=27,200,40 MHz untested reference: 40 Mbit/s raw,40.0,181.15942028985506,181,138.0,27,False,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; q=0 ordinary-ESKD bound; no ESKF",0.0,no_ESKF_bound,1.0
HOST_SPI,Mean DELTA K_D=240,200,40 MHz untested reference: 40 Mbit/s raw,40.0,44.326241134751776,44,564.0,240,False,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; q=0 ordinary-ESKD bound; no ESKF",0.0,no_ESKF_bound,1.0
HOST_SPI,Mean DELTA K_D=480,200,40 MHz untested reference: 40 Mbit/s raw,40.0,23.946360153256705,23,1044.0,480,True,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; q=0 ordinary-ESKD bound; no ESKF",0.0,no_ESKF_bound,1.0
HOST_SPI,Mean DELTA K_D=0,200,40 MHz untested reference: 40 Mbit/s raw,40.0,281.5315315315315,281,88.8,0,False,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement",0.005,nominal_periodic_only,1.0
HOST_SPI,Mean DELTA K_D=27,200,40 MHz untested reference: 40 Mbit/s raw,40.0,175.40166982389673,175,142.53,27,False,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement",0.005,nominal_periodic_only,1.0
HOST_SPI,Mean DELTA K_D=240,200,40 MHz untested reference: 40 Mbit/s raw,40.0,44.13841807909605,44,566.4,240,False,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement",0.005,nominal_periodic_only,1.0
HOST_SPI,Mean DELTA K_D=480,200,40 MHz untested reference: 40 Mbit/s raw,40.0,23.946360153256705,23,1044.0,480,True,"current M=4; extrapolation uses M=max(4,N), N<=M","mean SCK clock budget; no padding; no CS setup/hold, IRQ wait, software or retries; MOSI command simultaneous; USB envelope excluded; current firmware supports 4 modules only; FULL bursts may violate a round deadline; nominal periodic-only reference; q_other=0; continuous-cycle approximation; not measurement",0.005,nominal_periodic_only,1.0
