load,module_count,photo_filename_date_batch,metric,n_configurations,mean,sample_SD_across_configurations,minimum,maximum,SD_meaning,batch_meaning
ZERO,2,ALL,T_teensy_C,6,42.68333333333333333333333333,0.2316606713852540544489875457,42.5,43.1,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,ALL,T_regulator_C,6,29.1,0.1788854381999831757127338935,28.8,29.3,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,2026-09-05,I_sum_mA,2,36.275,0.3662813126546316176396373796,36.016,36.534,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,2026-09-05,P_source_output_estimate_mW,2,118.981741,1.150102108532107682962729347,118.168496,119.794986,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,2026-09-05,V_source_main_V,2,3.28,0.001414213562373095048801688724,3.279,3.281,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,2026-09-05,T_teensy_C,2,42.85,0.3535533905932737622004221811,42.6,43.1,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,2026-09-05,T_regulator_C,2,29.1,0.1414213562373095048801688724,29.0,29.2,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,2026-09-07,I_sum_mA,4,36.2575,0.2688661376968100086818590543,35.907,36.561,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,2026-09-07,P_source_output_estimate_mW,4,118.870137,0.8678409442023348093836078705,117.739053,119.846958,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,2026-09-07,V_source_main_V,4,3.2785,0.0005773502691896257645091487805,3.278,3.279,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,2026-09-07,T_teensy_C,4,42.6,0.1414213562373095048801688724,42.5,42.8,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,2,2026-09-07,T_regulator_C,4,29.1,0.2160246899469286743655322479,28.8,29.3,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,ALL,I_sum_mA,4,54.426,0.3457233961806268422661806355,54.130,54.851,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,ALL,P_source_output_estimate_mW,4,178.31311575,1.118888479240111757796706361,177.329880,179.691876,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,ALL,V_source_main_V,4,3.27625,0.0005,3.276,3.277,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,ALL,T_teensy_C,4,42.775,0.1707825127659933063870173113,42.6,43.0,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,ALL,T_regulator_C,4,29.975,0.6849574196011505843002516932,29.2,30.6,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,2026-09-05,I_sum_mA,2,54.7075,0.2029396462005391395030423319,54.564,54.851,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,2026-09-05,P_source_output_estimate_mW,2,179.22177,0.6648302809529662210119666794,178.751664,179.691876,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,2026-09-05,V_source_main_V,2,3.276,0.0,3.276,3.276,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,2026-09-05,T_teensy_C,2,42.9,0.1414213562373095048801688724,42.8,43.0,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,2026-09-05,T_regulator_C,2,30.55,0.07071067811865475244008443621,30.5,30.6,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,2026-09-07,I_sum_mA,2,54.1445,0.02050609665440987820762448650,54.130,54.159,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,2026-09-07,P_source_output_estimate_mW,2,177.4044615,0.1054741688021289883822031476,177.329880,177.479043,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,2026-09-07,V_source_main_V,2,3.2765,0.0007071067811865475244008443621,3.276,3.277,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,2026-09-07,T_teensy_C,2,42.65,0.07071067811865475244008443621,42.6,42.7,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,3,2026-09-07,T_regulator_C,2,29.4,0.2828427124746190097603377448,29.2,29.6,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,4,ALL,I_sum_mA,1,72.513,,72.513,72.513,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,4,ALL,P_source_output_estimate_mW,1,237.407562,,237.407562,237.407562,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,4,ALL,V_source_main_V,1,3.274,,3.274,3.274,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,4,ALL,T_teensy_C,1,42,,42.0,42.0,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,4,ALL,T_regulator_C,1,31,,31.0,31.0,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,4,2026-09-05,I_sum_mA,1,72.513,,72.513,72.513,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,4,2026-09-05,P_source_output_estimate_mW,1,237.407562,,237.407562,237.407562,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,4,2026-09-05,V_source_main_V,1,3.274,,3.274,3.274,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,4,2026-09-05,T_teensy_C,1,42,,42.0,42.0,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
ZERO,4,2026-09-05,T_regulator_C,1,31,,31.0,31.0,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,ALL,I_sum_mA,4,20.009,0.2797057978185889040820372047,19.689,20.34,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,ALL,P_source_output_estimate_mW,4,65.644444,0.9097128293562388434814670618,64.599609,66.7152,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,ALL,V_source_main_V,4,3.28075,0.0005,3.28,3.281,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,ALL,T_teensy_C,4,42.225,0.8616843969807042989775917202,41.6,43.5,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,ALL,T_regulator_C,4,29,0.0,29,29,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,2026-09-04,I_sum_mA,2,20.0145,0.4603265145524424383849496797,19.689,20.34,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,2026-09-04,P_source_output_estimate_mW,2,65.6574045,1.495948742317229263694706725,64.599609,66.7152,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,2026-09-04,V_source_main_V,2,3.2805,0.0007071067811865475244008443621,3.28,3.281,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,2026-09-04,T_teensy_C,2,42.7,1.131370849898476039041350979,41.9,43.5,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,2026-09-04,T_regulator_C,2,29,0.0,29,29,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,2026-09-04;2026-09-05,I_sum_mA,2,20.0035,0.1506137443927346226973798491,19.897,20.11,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,2026-09-04;2026-09-05,P_source_output_estimate_mW,2,65.6314835,0.4941636953525622970701032850,65.282057,65.98091,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,2026-09-04;2026-09-05,V_source_main_V,2,3.281,0.0,3.281,3.281,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,2026-09-04;2026-09-05,T_teensy_C,2,41.75,0.2121320343559642573202533086,41.6,41.9,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,1,2026-09-04;2026-09-05,T_regulator_C,2,29,0.0,29.0,29.0,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,ALL,I_sum_mA,6,39.629,0.3148682264059046018750101736,39.335,40.016,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,ALL,P_source_output_estimate_mW,6,129.8905728333333333333333333,1.020166724181967555841173700,128.940130,131.132432,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,ALL,V_source_main_V,6,3.277666666666666666666666667,0.0005163977794943222513572353866,3.277,3.278,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,ALL,T_teensy_C,6,42.8,0.1788854381999831757127338935,42.6,43.1,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,ALL,T_regulator_C,6,29.25,0.2345207879911714777282815057,28.9,29.6,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,2026-09-05,I_sum_mA,2,39.6735,0.4164858941188764918720973293,39.379,39.968,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,2026-09-05,P_source_output_estimate_mW,2,130.049733,1.365240760921677140356735045,129.084362,131.015104,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,2026-09-05,V_source_main_V,2,3.278,0.0,3.278,3.278,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,2026-09-05,T_teensy_C,2,42.85,0.07071067811865475244008443621,42.8,42.9,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,2026-09-05,T_regulator_C,2,29.5,0.1414213562373095048801688724,29.4,29.6,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,2026-09-07,I_sum_mA,4,39.60675,0.3247094855405366811317816853,39.335,40.016,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,2026-09-07,P_source_output_estimate_mW,4,129.81099275,1.043044025021435356799156772,128.940130,131.132432,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,2026-09-07,V_source_main_V,4,3.2775,0.0005773502691896257645091487805,3.277,3.278,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,2026-09-07,T_teensy_C,4,42.775,0.2217355782608345120841005136,42.6,43.1,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,2,2026-09-07,T_regulator_C,4,29.125,0.15,28.9,29.2,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,ALL,I_sum_mA,4,58.84925,0.4823431523994786293836338028,58.279,59.328,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,ALL,P_source_output_estimate_mW,4,192.7609155,1.612005473411820232541192732,190.863725,194.358528,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,ALL,V_source_main_V,4,3.2755,0.0005773502691896257645091487805,3.275,3.276,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,ALL,T_teensy_C,4,42.65,0.1,42.6,42.8,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,ALL,T_regulator_C,4,30.125,0.4112987559751021987847281091,29.6,30.5,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,2026-09-05,I_sum_mA,2,59.2435,0.1195010460205265316237426972,59.159,59.328,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,2026-09-05,P_source_output_estimate_mW,2,194.081706,0.3914854267632449175993810760,193.804884,194.358528,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,2026-09-05,V_source_main_V,2,3.276,0.0,3.276,3.276,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,2026-09-05,T_teensy_C,2,42.7,0.1414213562373095048801688724,42.6,42.8,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,2026-09-05,T_regulator_C,2,30.45,0.07071067811865475244008443621,30.4,30.5,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,2026-09-07,I_sum_mA,2,58.455,0.2489015869776647285890972155,58.279,58.631,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,2026-09-07,P_source_output_estimate_mW,2,191.440125,0.8151526973518519861292933806,190.863725,192.016525,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,2026-09-07,V_source_main_V,2,3.275,0.0,3.275,3.275,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,2026-09-07,T_teensy_C,2,42.6,0.0,42.6,42.6,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,3,2026-09-07,T_regulator_C,2,29.8,0.2828427124746190097603377448,29.6,30.0,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,4,ALL,I_sum_mA,1,78.72,,78.720,78.720,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,4,ALL,P_source_output_estimate_mW,1,257.65056,,257.650560,257.650560,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,4,ALL,V_source_main_V,1,3.273,,3.273,3.273,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,4,ALL,T_teensy_C,1,42.3,,42.3,42.3,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,4,ALL,T_regulator_C,1,31.2,,31.2,31.2,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,4,2026-09-05,I_sum_mA,1,78.72,,78.720,78.720,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,4,2026-09-05,P_source_output_estimate_mW,1,257.65056,,257.650560,257.650560,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,4,2026-09-05,V_source_main_V,1,3.273,,3.273,3.273,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,4,2026-09-05,T_teensy_C,1,42.3,,42.3,42.3,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
MAX,4,2026-09-05,T_regulator_C,1,31.2,,31.2,31.2,"Across combinations, not independent repeatability; two entries compile partial retests",baseline photo filename batch only; targeted retest reported 2026-09-07 separately
